x,y,z,s
39.92,0.0,0.0,41.9
40.02,0.0,0.0,42.0
40.12,0.0,0.0,42.1
40.22,0.0,0.0,42.2
40.32,0.0,0.0,42.3
40.42,0.0,0.0,42.4
40.52,0.0,0.0,42.5
40.62,0.0,0.0,42.6
40.72,0.0,0.0,42.7
40.82,0.0,0.0,42.8
40.92,0.0,0.0,42.9
41.02,0.0,0.0,43.0
41.12,0.0,0.0,43.1
41.22,0.0,0.0,43.2
41.32,0.0,0.0,43.3
41.42,0.0,0.0,43.4
41.52,0.0,0.0,43.5
41.62,0.0,0.0,43.6
41.72,0.0,0.0,43.7
41.82,0.0,0.0,43.8
41.92,0.0,0.0,43.9
42.02,0.0,0.0,44.0
42.12,0.0,0.0,44.1
42.22,0.0,0.0,44.2
42.32,0.0,0.0,44.3
42.42,0.0,0.0,44.4
42.52,0.0,0.0,44.5
42.62,0.0,0.0,44.6
42.72,0.0,0.0,44.7
42.82,0.0,0.0,44.8
42.92,0.0,0.0,44.9
43.02,0.0,0.0,45.0
43.12,0.0,0.0,45.1
43.22,0.0,0.0,45.2
43.32,0.0,0.0,45.3
43.42,0.0,0.0,45.4
43.52,0.0,0.0,45.5
43.62,0.0,0.0,45.6
43.72,0.0,0.0,45.7
43.82,0.0,0.0,45.8
43.92,0.0,0.0,45.9
44.02,0.0,0.0,46.0
44.12,0.0,0.0,46.1
44.22,0.0,0.0,46.2
44.32,0.0,0.0,46.3
44.42,0.0,0.0,46.4
44.52,0.0,0.0,46.5
44.62,0.0,0.0,46.6
44.72,0.0,0.0,46.7
44.82,0.0,0.0,46.8
44.92,0.0,0.0,46.9
45.02,0.0,0.0,47.0
45.12,0.0,0.0,47.1
45.22,0.0,0.0,47.2
45.32,0.0,0.0,47.3
45.42,0.0,0.0,47.4
45.52,0.0,0.0,47.5
45.62,0.0,0.0,47.6
45.72,0.0,0.0,47.7
45.82,0.0,0.0,47.8
45.92,0.0,0.0,47.9
46.02,0.0,0.0,48.0
46.12,0.0,0.0,48.1
46.22,0.0,0.0,48.2
46.32,0.0,0.0,48.3
46.42,0.0,0.0,48.4
46.52,0.0,0.0,48.5
46.62,0.0,0.0,48.6
46.72,0.0,0.0,48.7
46.82,0.0,0.0,48.8
46.92,0.0,0.0,48.9
47.02,0.0,0.0,49.0
47.12,0.0,0.0,49.1
47.22,0.0,0.0,49.2
47.32,0.0,0.0,49.3
47.42,0.0,0.0,49.4
47.52,0.0,0.0,49.5
47.62,0.0,0.0,49.6
47.72,0.0,0.0,49.7
47.82,0.0,0.0,49.8
47.92,0.0,0.0,49.9
48.02,0.0,0.0,50.0
48.12,0.0,0.0,50.1
48.22,0.0,0.0,50.2
48.32,0.0,0.0,50.3
48.42,0.0,0.0,50.4
48.52,0.0,0.0,50.5
48.62,0.0,0.0,50.6
48.72,0.0,0.0,50.7
48.82,0.0,0.0,50.8
48.92,0.0,0.0,50.9
49.02,0.0,0.0,51.0
49.12,0.0,0.0,51.1
49.22,0.0,0.0,51.2
49.32,0.0,0.0,51.3
49.42,0.0,0.0,51.4
49.52,0.0,0.0,51.5
49.62,0.0,0.0,51.6
49.72,0.0,0.0,51.7
49.82,0.0,0.0,51.8
49.92,0.0,0.0,51.9
50.02,0.0,0.0,52.0
50.12,0.0,0.0,52.1
50.22,0.0,0.0,52.2
50.32,0.0,0.0,52.3
50.42,0.0,0.0,52.4
50.52,0.0,0.0,52.5
50.62,0.0,0.0,52.6
50.72,0.0,0.0,52.7
50.82,0.0,0.0,52.8
50.92,0.0,0.0,52.9
51.02,0.0,0.0,53.0
51.12,0.0,0.0,53.1
51.22,0.0,0.0,53.2
51.32,0.0,0.0,53.3
51.42,0.0,0.0,53.4
51.52,0.0,0.0,53.5
51.62,0.0,0.0,53.6
51.72,0.0,0.0,53.7
51.82,0.0,0.0,53.8
51.92,0.0,0.0,53.9
52.02,0.0,0.0,54.0
52.12,0.0,0.0,54.1
52.22,0.0,0.0,54.2
52.32,0.0,0.0,54.3
52.42,0.0,0.0,54.4
52.52,0.0,0.0,54.5
52.62,0.0,0.0,54.6
52.72,0.0,0.0,54.7
52.82,0.0,0.0,54.8
52.92,0.0,0.0,54.9
53.02,0.0,0.0,55.0
53.12,0.0,0.0,55.1
53.22,0.0,0.0,55.2
53.32,0.0,0.0,55.3
